"program","compartment","n_cells","p_kw","neglog10p","neglog10p_cap"
"CYTOTOXICITY","Myeloid",651,3.27076849237269e-06,5.48535019450027,5.48535019450027
"CYTOTOXICITY","T_cells",64,0.00470274795565172,2.32764829669575,2.32764829669575
"EXHAUSTION","Myeloid",651,0.269364708079963,0.569659305755403,0.569659305755403
"EXHAUSTION","T_cells",64,0.464585626513894,0.332934230657746,0.332934230657746
"IFN_ISG","Myeloid",651,1.26809779949214e-08,7.89684725107426,7.89684725107426
"IFN_ISG","T_cells",64,0.190332373351973,0.720487336923861,0.720487336923861
"INFLAM_MYELOID","Myeloid",651,5.65363731669201e-05,4.24767205513398,4.24767205513398
"INFLAM_MYELOID","T_cells",64,0.341291094818034,0.466875043458379,0.466875043458379
"TAM_MACRO","Myeloid",651,0.000354642056208776,3.4502097636692,3.4502097636692
"TAM_MACRO","T_cells",64,0.844603174830857,0.0733472904117853,0.0733472904117853
