"program","compartment","n_cells","p_kw","neglog10p","neglog10p_cap","donor_high","donor_low","med_high","med_low","effect_range"
"IFN_ISG","Myeloid",651,1.26809779949214e-08,7.89684725107426,7.89684725107426,"Donor5","Donor3",0.0614474808742526,-0.131228026858521,0.192675507732774
"CYTOTOXICITY","Myeloid",651,3.27076849237269e-06,5.48535019450027,5.48535019450027,"Donor2","Donor3",-0.0804654203412624,-0.318752999096469,0.238287578755206
"INFLAM_MYELOID","Myeloid",651,5.65363731669201e-05,4.24767205513398,4.24767205513398,"Donor3","Donor4",0.868507712279013,0.322097572506567,0.546410139772446
"TAM_MACRO","Myeloid",651,0.000354642056208776,3.4502097636692,3.4502097636692,"Donor1","Donor3",1.45420341168246,0.764594506723115,0.689608904959345
"CYTOTOXICITY","T_cells",64,0.00470274795565172,2.32764829669575,2.32764829669575,"Donor2","Donor3",0.640808879346152,-0.319339682961961,0.960148562308114
"IFN_ISG","T_cells",64,0.190332373351973,0.720487336923861,0.720487336923861,"Donor7","Donor5",0.0351995521653049,-0.22084483670324,0.256044388868545
"EXHAUSTION","Myeloid",651,0.269364708079963,0.569659305755403,0.569659305755403,"Donor3","Donor2",-0.107410336649752,-0.165865957950245,0.0584556213004936
"INFLAM_MYELOID","T_cells",64,0.341291094818034,0.466875043458379,0.466875043458379,"Donor7","Donor5",-0.433019669994759,-0.709313127344783,0.276293457350024
"EXHAUSTION","T_cells",64,0.464585626513894,0.332934230657746,0.332934230657746,"Donor6","Donor5",0.262177712315496,-0.00361473372646454,0.265792446041961
"TAM_MACRO","T_cells",64,0.844603174830857,0.0733472904117853,0.0733472904117853,"Donor4","Donor5",-0.351336196329621,-0.561438734179263,0.210102537849643
